,product_name,year,varietal,origin,price,rating,rating_count
0,Dom Perignon Vintage with Gift Box,2012,Vintage Sparkling Wine,France,269,4.8,37
1,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon,2017,Cabernet Sauvignon,California,144,4.6,34
2,Chateau Fonbadet B de Fonbadet,2019,Bordeaux Red Blends,France,24,3.8,31
3,Joseph Phelps Cabernet Sauvignon,2019,Cabernet Sauvignon,California,89,4.5,46
4,Stag's Leap Wine Cellars Artemis Cabernet Sauvignon,2019,Cabernet Sauvignon,California,77,4.4,72
5,Faust Cabernet Sauvignon,2018,Cabernet Sauvignon,California,55,4.3,427
6,Chateau Faizeau Montagne Saint-Emilion,2018,Bordeaux Red Blends,France,22,3.9,291
7,The Prisoner Wine Company The Prisoner Red Blend,2019,Other Red Blends,California,48,4.5,634
8,Nicolas Feuillatte Reserve Exclusive,Brut,Non-Vintage Sparkling Wine,France,39,4.2,584
9,Dominus Estate,2019,Bordeaux Red Blends,California,330,4.5,15
10,Piancornello Brunello di Montalcino,2016,Sangiovese,Italy,62,4.1,84
11,Substance Cabernet Sauvignon,2019,Cabernet Sauvignon,Washington,17,3.8,346
12,Domaine Drouhin Oregon Pinot Noir (375ML half-bottle),2019,Pinot Noir,Oregon,23,4.3,22
13,Chateau de Landiras,2018,Bordeaux Red Blends,France,19,3.7,295
14,Stag's Leap Wine Cellars KARIA Chardonnay,2019,Chardonnay,California,36,4.2,115
15,Head High Wines Sonoma County Pinot Noir,2019,Pinot Noir,California,25,4.0,80
16,Domaine du Vieux Telegraphe Chateauneuf-du-Pape La Crau,2019,Rhone Red Blends,France,105,4.3,12
17,Antinori Marchese Chianti Classico Riserva,2019,Sangiovese,Italy,44,4.3,6
18,Antinori Villa Antinori Chianti Classico Riserva,2017,Sangiovese,Italy,35,4.1,63
19,Haras de Pirque Hussonet Gran Reserva Cabernet Sauvignon,2018,Cabernet Sauvignon,Chile,15,3.7,227
20,Double Canyon Horse Heaven Hills Cabernet Sauvignon,2017,Cabernet Sauvignon,Washington,25,3.9,341
21,Antinori Villa Toscana,2018,Tuscan Blends,Italy,20,4.0,244
22,Altesino Brunello di Montalcino,2017,Sangiovese,Italy,64,4.2,27
23,Frescobaldi Nipozzano Chianti Rufina Riserva,2018,Sangiovese,Italy,19,4.0,239
24,Antica Mountain Select Cabernet Sauvignon,2018,Cabernet Sauvignon,California,70,4.4,12
25,Columbia Crest H3 Cabernet Sauvignon,2018,Cabernet Sauvignon,Washington,14,3.9,183
26,Chateau Ste. Michelle Columbia Valley Riesling,2020,Riesling,Washington,12,4.0,126
27,Tenuta Guado al Tasso Il Bruciato,2020,Bordeaux Red Blends,Italy,33,4.1,63
28,Almaviva,2019,Bordeaux Red Blends,Chile,169,4.1,7
29,Moet & Chandon Imperial Brut in Cooler,Sleeve,Non-Vintage Sparkling Wine,France,69,4.6,8
30,Antinori Badia a Passignano Chianti Classico Gran Selezione,2018,Sangiovese,Italy,65,4.5,19
31,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon,2018,Cabernet Sauvignon,Washington,40,3.6,19
32,Rutherford Hill Merlot,2019,Merlot,California,30,4.0,48
33,Antica Mountain Select Chardonnay,2019,Chardonnay,California,35,3.6,11
34,Tormaresca Calafuria Rose,2021,Rosé,Italy,17,3.7,25
35,Parducci Small Lot Chardonnay,2020,Chardonnay,California,14,3.8,36
36,Chateau des Mille Anges,2016,Bordeaux Red Blends,France,19,3.6,104
37,Golden West Pinot Noir,2019,Pinot Noir,Washington,20,3.6,166
